address,amount
rMjz1iMD3cePUTF7Uh8Q7y8UPBTNze3ck1,48800
rMqSkfSAZWSfbfehiAKHYRYNrk887dr4F4,48800
rKcmr6KueCo2gMjz2oZ7hqmPhS6Kask6de,48800
rM4mfySTwLMykFiYwxs7DxwpmHe1HsxJXd,48800
r4u6D2nL1dVx3gEYaHJiT89Jckk7B4y9mq,48800
rGgAXDkqq7Ck4r32a12QWLfhcA1BLZ3kgT,48800
rEeHAL23GrXYf6yauD4N8vJBGrGAbrmfjy,48800
rPzeG8yuimG6iKDHYFN2D6hYbcYRvFBqwY,48800
rfuGBRN9W1VpRzCXGsFFH4SY8jyNBewCgm,48800
rHm3FAnDohKbKcdVVmvb1DwTMbdAHYYQPU,48800
rhSTwqSK13zdRmzHMZZP8i7DnuG27pwX76,48800
rsRupDkVqNHshXFy1QWr36CB45eYZHJ6nf,48800
rap4Xnb1dJfYKfGxiR4E51JqeZkHPk3eqX,48800
r9QoQC3cM1EzhdBK8thq98FPwxpJsSmd32,48800
rp3cjSseMFXrCc45cnEPGVJEkCokWySiHy,48800
rJBJBkvVwHr4zxd9MCF7Bgcaw3GArKf752,48800
rU9XceRHfQ2epTqrDeRdzqSpiSQ9Jqtrge,48800
r9aak3ZTDYdrD6Bn1eDTqVsJdQpmqEm3ap,48800
r41FPArgDx3eo3DncuvwABGdnAscy3N6MY,48800
r9UXUfsMuadcgAGLKrw4TrFXWkwssdxwPJ,48800
rhZ8yJNS8FoRGxotzycGnJMNZU618Q7CSY,48800
rnV6ukcYkAjym638xRCvRxVXiYrp5QJc71,48800
r9wNoJsWuDAYYtWXZVf7YCHeLhgfL5Qfxt,48800
rh3XEADHSryM72UvoLUdqimvwTQtDWiHfo,48800
r4QpqdqwDPGGqMPLaGWcRQPvKRRtzxnJ1K,48800
rLrPounj1V59rHxMSHAUvNQxecZaZKBipL,48800
rpmbaw1Zm53Avvdhvme9oHEJJYVzRq3eKP,48800
rNm2VxTKPnjipf3zdhUWYDUVn2m2WZpvUb,48800
rncvpgwXWgTLa8AEFYKMxwQakD8gN1ihtQ,48800
rsVBgrUEvoSBWTQQQ3khZ9YrtRLaPmvE9H,48800
rsDrvazP5qoAY289LDXAH4QXoBxhVZ5PAL,48800
rKj7Wjon8ms5HyG6ZGoCMs98cM9bFvHYSS,48800
rwmpXefYPpyqz9wmkrY2MRcH6tceXbSejG,48800
rRf6Yy8pq4qFvQSVy62EdsMrs2GnrvCeB,48800
rMcSoZZ2FvgX2Zq2i1yHQJh9EyrwgFSW26,48800
rUV6dVnoZAyeKGw3Zfyn3agnbTHS2rF6WX,48800
rwwJNx7Fxnaw5qgdoexE1CYPo6d4eND4Gz,48800
rE3zbGrHBXnrfLrHEFcnJLSTqP8ahRFYd1,48800
rp2hG3ybQqGTtkkC7H6joAu4yt8j3QNUxs,48800
rG5wWtQ34DmqVSqgpaWxXPv6YCU7mJPRBv,48800
rLEJh5K8DYuWMLb5x8HJrJfh8dEE7peJvV,48800
rDLzZcXDc3rJyFDdK9Hd8aG9ZwibMjS9d2,48800
rNzLxYMTrmEin3C1yKqTe7Tdjg7SRQG2gh,48800
rEQ7i7yar4tf25jvm5R59GZdEiZN1RmuMh,48800
rnpgBPgpTfCfvNacXkwEdMeFcw2w6NwkJE,48800
rsY39ZxzroDkhpyebHZT1F1ZBPuxofrQfz,48800
raJTixkA5FKseAps1R3xPgC5UvKppZQU1s,48800
rnreG9gr5sHD1EbEwSuWR2Q9ndye4dnkk5,48800
rsGFkYo5TSa87BCpHFQHLRz2ykQZt3HtQH,48800
r9euVvtB6xDCFPhVT2FsF3tXH4hv3f4r6x,48800
rKfgyWVAkxnohYEuc1DJxeBoLbR68chq7j,48800
rUx4c37TtoPywX9Tc1aXTn1DV6PnsTzUeq,48800
r9ovVB2i9785qNZnHQertaM43Tt5JdPAGb,48800
rJnPmpReFQiYNxtNEyUVEgJ79YYTtzWdUq,48800
rfvddnBoNbkkC3dQoVvi89Y9gk2Xnqg294,48800
rwSynN8jF3WkYoehfkjC9LJcyRKkQgFpUc,48800
rHAXWLSeWi8jPyTy2kb8xNF5ocKzSEcYsU,48800
rLB5qwenWm1TF4zbTVhZj837uyNoCv9Vt9,48800
rfr4Lvm4Fj1iCXm1AsffCPWjmZnTuRhKsr,48800
rK6mRjTXZQtaTwsPka5C4KD2yhu7iXwueX,48800
rHUkGof8w5Si1TYNxRTN4rqBN8sHHa4hh5,48800
rnin7Lndrs12FJ8GNGxPM1SgZGst2rjpQ6,48800
rHABLjPXobi14CTpnNLcc3JuwxLx3Bt3DQ,48800
rLruMsMshL2qoexkQXcLpLLYMyKZQgPxW5,48800
rJ3u9mQv6PVhrfZZ2rweU6dzskX2ysQPA8,48800
r4poLPSAFWQdYnAf2JJ6pCK2tMGZRAJRWJ,48800
rLh9RkPRwpkdc51qsemAh7hoUXWXiJg6aq,48800
rfLv9cfXN5R8g4sEyPwMpNN7qErXhSM4kJ,48800
rnjkEKNQitrjT6oHrGZc7xxKb4sEgPWiAd,48800
rnqGmkU7uXoM1Hn4SZcK1GXi4BUCm1pjsv,48800
rNVaLpn98vKAEPfkK5YG3QHnsMz8S3jGtX,48800
rsZdY1WQQi5xv3PVdw4aDLKjdRJ197gh6h,48800
rBceSn1Hy7CZVZrP3yGVGdXLYpL6jW9jxR,48800
rB37iVANPgnd1R3AgiQv8exYAp7LHTWLTt,48800
rNJDKPdZuEC3neGmaQ3mEjiVZEuMN7wJM2,48800
rBVWTqj7mzKg7kiPMveKkw5ZXt4aeqjxn9,48800
rLur3xfMyMnWQnZgM4thCfTEYJ5BxJiiUm,48800
rayxCGHVENs56hKWJ6XMZSC8zM1W3cRu19,48800
raFkJbcTVNag5NUQNyGWe1GQgzt2Cr5rbF,48800
